time	V(vout)
Step Information: Run=1  (Step: 1/250)
0.000000000000000e+00	0.000000e+00
9.999999439624929e-11	3.715763e+00
1.010978274783781e-10	3.702514e+00
1.032934936426357e-10	3.676577e+00
1.076848259711510e-10	3.627741e+00
1.164674906281816e-10	3.539493e+00
1.340328199422427e-10	3.385516e+00
1.515487143184741e-10	3.245179e+00
2.529132357352957e-10	2.454200e+00
3.644124718170826e-10	1.607083e+00
4.547938511586184e-10	9.434853e-01
5.198187032065277e-10	6.459359e-01
5.947913389207590e-10	5.684577e-01
6.391785427886892e-10	5.646956e-01
6.963212763297787e-10	5.620923e-01
7.707248741127670e-10	5.605323e-01
9.195320696787436e-10	5.596299e-01
1.217146460810697e-09	5.598177e-01
1.812375243074603e-09	5.605839e-01
3.002832807602416e-09	5.619912e-01
5.383747936658042e-09	5.648838e-01
1.014557819476929e-08	5.706125e-01
1.966923871099179e-08	5.821356e-01
3.871655974343680e-08	6.051747e-01
1.530004859381068e-07	7.444993e-01
3.053790541976668e-07	9.319792e-01
6.101361907167869e-07	1.309260e+00
1.219650463755027e-06	2.065077e+00
1.875485778364717e-06	2.867848e+00
1.975723549930479e-06	2.983935e+00
2.176199093062005e-06	3.185253e+00
2.187251759139547e-06	3.194268e+00
2.209357091294633e-06	3.209893e+00
2.253567755604805e-06	3.235023e+00
2.309820823718707e-06	3.255765e+00
2.360982204162938e-06	3.266636e+00
2.413857167194725e-06	3.273310e+00
2.476154019928289e-06	3.278002e+00
2.542633541859491e-06	3.281075e+00
2.624307807735846e-06	3.283428e+00
2.728245550216911e-06	3.285290e+00
2.856342656504892e-06	3.286693e+00
3.029809034650052e-06	3.287852e+00
3.247018479687911e-06	3.288714e+00
3.598057680239054e-06	3.289512e+00
4.164131899852919e-06	3.290160e+00
5.199052144023429e-06	3.290693e+00
7.169421362394163e-06	3.291066e+00
1.111015979913563e-05	3.291296e+00
1.899163667261857e-05	3.291396e+00
3.475459041958445e-05	3.291420e+00
6.628049791351621e-05	3.291419e+00
1.293323129013797e-04	3.291419e+00
2.554359428771067e-04	3.291414e+00
5.076432028285607e-04	3.291418e+00
1.012057722731469e-03	3.291414e+00
2.020886762537285e-03	3.291419e+00
4.038544842148916e-03	3.291414e+00
7.944794842148916e-03	3.291420e+00
1.185104484214892e-02	3.291415e+00
1.575729484214892e-02	3.291421e+00
1.966354484214892e-02	3.291417e+00
2.356979484214892e-02	3.291422e+00
2.747604484214892e-02	3.291418e+00
3.138229484214892e-02	3.291423e+00
3.528854484214892e-02	3.291419e+00
3.919479484214892e-02	3.291424e+00
4.310104484214892e-02	3.291420e+00
4.700729484214892e-02	3.291425e+00
5.091354484214892e-02	3.291422e+00
5.481979484214892e-02	3.291426e+00
5.872604484214892e-02	3.291423e+00
6.263229484214891e-02	3.291428e+00
6.653854484214891e-02	3.291424e+00
7.044479484214891e-02	3.291429e+00
7.435104484214891e-02	3.291425e+00
7.825729484214891e-02	3.291430e+00
8.216354484214891e-02	3.291426e+00
8.606979484214891e-02	3.291431e+00
8.997604484214891e-02	3.291427e+00
9.388229484214891e-02	3.291432e+00
9.778854484214891e-02	3.291428e+00
1.016947948421489e-01	3.291433e+00
1.056010448421489e-01	3.291429e+00
1.095072948421489e-01	3.291434e+00
1.134135448421489e-01	3.291430e+00
1.173197948421489e-01	3.291435e+00
1.212260448421489e-01	3.291431e+00
1.251322948421489e-01	3.291436e+00
1.290385448421489e-01	3.291432e+00
1.329447948421489e-01	3.291437e+00
1.368510448421489e-01	3.291433e+00
1.407572948421489e-01	3.291438e+00
1.446635448421489e-01	3.291434e+00
1.485697948421489e-01	3.291439e+00
1.524760448421489e-01	3.291435e+00
1.563822948421489e-01	3.291440e+00
1.602885448421489e-01	3.291436e+00
1.641947948421489e-01	3.291440e+00
1.681010448421489e-01	3.291437e+00
1.720072948421489e-01	3.291441e+00
1.759135448421489e-01	3.291438e+00
1.798197948421489e-01	3.291442e+00
1.837260448421489e-01	3.291439e+00
1.876322948421489e-01	3.291443e+00
1.915385448421489e-01	3.291439e+00
1.954447948421489e-01	3.291444e+00
1.993510448421489e-01	3.291440e+00
2.032572948421489e-01	3.291445e+00
2.071635448421489e-01	3.291441e+00
2.110697948421489e-01	3.291445e+00
2.149760448421489e-01	3.291442e+00
2.188822948421489e-01	3.291446e+00
2.227885448421489e-01	3.291443e+00
2.266947948421489e-01	3.291447e+00
2.306010448421489e-01	3.291443e+00
2.345072948421489e-01	3.291448e+00
2.384135448421489e-01	3.291444e+00
2.423197948421489e-01	3.291449e+00
2.462260448421489e-01	3.291445e+00
2.501322948421489e-01	3.291449e+00
2.540385448421489e-01	3.291446e+00
2.579447948421489e-01	3.291450e+00
2.618510448421489e-01	3.291446e+00
2.657572948421489e-01	3.291451e+00
2.696635448421489e-01	3.291447e+00
2.735697948421489e-01	3.291451e+00
2.774760448421489e-01	3.291448e+00
2.813822948421489e-01	3.291452e+00
2.852885448421489e-01	3.291449e+00
2.891947948421489e-01	3.291453e+00
2.931010448421489e-01	3.291449e+00
2.970072948421489e-01	3.291454e+00
3.009135448421489e-01	3.291450e+00
3.048197948421489e-01	3.291454e+00
3.087260448421489e-01	3.291451e+00
3.126322948421489e-01	3.291455e+00
3.165385448421489e-01	3.291451e+00
3.204447948421489e-01	3.291456e+00
3.243510448421489e-01	3.291452e+00
3.282572948421489e-01	3.291456e+00
3.321635448421489e-01	3.291452e+00
3.360697948421489e-01	3.291457e+00
3.399760448421489e-01	3.291453e+00
3.438822948421489e-01	3.291457e+00
3.477885448421489e-01	3.291454e+00
3.516947948421489e-01	3.291458e+00
3.556010448421489e-01	3.291454e+00
3.595072948421489e-01	3.291458e+00
3.634135448421489e-01	3.291455e+00
3.673197948421489e-01	3.291459e+00
3.712260448421489e-01	3.291456e+00
3.751322948421489e-01	3.291460e+00
3.790385448421489e-01	3.291456e+00
3.829447948421489e-01	3.291460e+00
3.868510448421489e-01	3.291457e+00
3.907572948421489e-01	3.291461e+00
3.946635448421489e-01	3.291457e+00
3.985697948421489e-01	3.291461e+00
4.024760448421489e-01	3.291458e+00
4.063822948421489e-01	3.291462e+00
4.102885448421489e-01	3.291458e+00
4.141947948421489e-01	3.291462e+00
4.181010448421489e-01	3.291459e+00
4.220072948421489e-01	3.291463e+00
4.259135448421489e-01	3.291459e+00
4.298197948421489e-01	3.291463e+00
4.337260448421489e-01	3.291460e+00
4.376322948421489e-01	3.291463e+00
4.415385448421489e-01	3.291460e+00
4.454447948421489e-01	3.291464e+00
4.493510448421489e-01	3.291460e+00
4.532572948421489e-01	3.291464e+00
4.571635448421489e-01	3.291461e+00
4.610697948421489e-01	3.291464e+00
4.649760448421489e-01	3.291461e+00
4.688822948421489e-01	3.291464e+00
4.727885448421489e-01	3.291461e+00
4.766947948421489e-01	3.291464e+00
4.806010448421489e-01	3.291461e+00
4.845072948421489e-01	3.291464e+00
4.884135448421489e-01	3.291460e+00
4.923197948421489e-01	3.291464e+00
4.962260448421489e-01	3.291460e+00
5.001322948421489e-01	3.291463e+00
5.040385448421489e-01	3.291459e+00
5.079447948421489e-01	3.291462e+00
5.118510448421489e-01	3.291458e+00
5.157572948421489e-01	3.291461e+00
5.196635448421489e-01	3.291457e+00
5.235697948421489e-01	3.291460e+00
5.274760448421489e-01	3.291455e+00
5.313822948421489e-01	3.291457e+00
5.352885448421489e-01	3.291452e+00
5.391947948421489e-01	3.291454e+00
5.431010448421489e-01	3.291448e+00
5.470072948421489e-01	3.291450e+00
5.509135448421489e-01	3.291443e+00
5.548197948421489e-01	3.291444e+00
5.587260448421489e-01	3.291437e+00
5.626322948421489e-01	3.291437e+00
5.665385448421489e-01	3.291429e+00
5.704447948421489e-01	3.291428e+00
5.743510448421489e-01	3.291418e+00
5.782572948421489e-01	3.291415e+00
5.821635448421489e-01	3.291404e+00
5.860697948421489e-01	3.291399e+00
5.899760448421489e-01	3.291384e+00
5.938822948421489e-01	3.291377e+00
5.977885448421489e-01	3.291358e+00
6.016947948421489e-01	3.291346e+00
6.056010448421489e-01	3.291321e+00
6.095072948421489e-01	3.291302e+00
6.134135448421489e-01	3.291265e+00
6.173197948421489e-01	3.291233e+00
6.212260448421489e-01	3.291172e+00
6.251322948421489e-01	3.291109e+00
6.290385448421489e-01	3.290981e+00
6.329447948421489e-01	3.290797e+00
6.368510448421489e-01	3.290062e+00
6.373393260921489e-01	3.289908e+00
6.383158885921489e-01	3.288109e+00
6.383464061702739e-01	3.287841e+00
6.384074413265239e-01	3.285878e+00
6.384131633724224e-01	3.285354e+00
6.384207927669536e-01	3.284119e+00
6.384226106609461e-01	3.283617e+00
6.384262464489310e-01	3.282116e+00
6.384271553959272e-01	3.281521e+00
6.384289732899197e-01	3.279861e+00
6.384294277634177e-01	3.279258e+00
6.384303367104139e-01	3.277716e+00
6.384317210290485e-01	3.273239e+00
6.384319442591572e-01	3.271987e+00
6.384323907193744e-01	3.268615e+00
6.384328465036097e-01	3.262625e+00
6.384331778711616e-01	3.254336e+00
6.384334522913802e-01	3.240534e+00
6.384336699404033e-01	3.217181e+00
6.384338599989913e-01	3.172645e+00
6.384340625866661e-01	3.070095e+00
6.384342714983978e-01	2.887462e+00
6.384345839992859e-01	2.531889e+00
6.384349154691769e-01	2.124438e+00
6.384353622580375e-01	1.570610e+00
6.384362498210263e-01	4.783306e-01
6.384367558739092e-01	3.661559e-02
6.384367578354155e-01	3.621323e-02
6.384367617584281e-01	3.547650e-02
6.384367696044534e-01	3.409483e-02
6.384367852965038e-01	3.163553e-02
6.384368166806047e-01	2.772451e-02
6.384368794488064e-01	2.256002e-02
6.384369502481408e-01	1.910529e-02
6.384370298657321e-01	1.671630e-02
6.384371286717472e-01	1.486793e-02
6.384372568471727e-01	1.338953e-02
6.384374208765360e-01	1.224198e-02
6.384376392019973e-01	1.132613e-02
6.384379285745743e-01	1.061351e-02
6.384383300896220e-01	1.004412e-02
6.384388810650916e-01	9.608236e-03
6.384396788820778e-01	9.265948e-03
6.384409570774378e-01	8.992372e-03
6.384433304583995e-01	8.774303e-03
6.384480672600595e-01	8.632259e-03
6.384575408633796e-01	8.569797e-03
6.384764880700196e-01	8.564003e-03
6.385143824832996e-01	8.564917e-03
6.385901713098597e-01	8.564648e-03
6.387417489629800e-01	8.565291e-03
6.390449042692203e-01	8.564793e-03
6.396512148817011e-01	8.565150e-03
6.408638361066625e-01	8.564607e-03
6.432890785565856e-01	8.564702e-03
6.471953285565856e-01	8.563862e-03
6.511015785565856e-01	8.563781e-03
6.550078285565856e-01	8.562951e-03
6.589140785565856e-01	8.562859e-03
6.628203285565856e-01	8.562047e-03
6.667265785565856e-01	8.561953e-03
6.706328285565856e-01	8.561159e-03
6.745390785565856e-01	8.561062e-03
6.784453285565856e-01	8.560284e-03
6.823515785565856e-01	8.560186e-03
6.862578285565856e-01	8.559425e-03
6.901640785565856e-01	8.559325e-03
6.940703285565856e-01	8.558581e-03
6.979765785565856e-01	8.558477e-03
7.018828285565856e-01	8.557750e-03
7.057890785565856e-01	8.557645e-03
7.096953285565856e-01	8.556933e-03
7.136015785565856e-01	8.556825e-03
7.175078285565856e-01	8.556130e-03
7.214140785565856e-01	8.556020e-03
7.253203285565856e-01	8.555341e-03
7.292265785565856e-01	8.555229e-03
7.331328285565856e-01	8.554565e-03
7.370390785565856e-01	8.554450e-03
7.409453285565856e-01	8.553802e-03
7.448515785565856e-01	8.553685e-03
7.487578285565856e-01	8.553051e-03
7.526640785565856e-01	8.552932e-03
7.565703285565856e-01	8.552315e-03
7.604765785565856e-01	8.552193e-03
7.643828285565856e-01	8.551589e-03
7.682890785565856e-01	8.551465e-03
7.721953285565856e-01	8.550877e-03
7.761015785565856e-01	8.550750e-03
7.800078285565856e-01	8.550175e-03
7.839140785565856e-01	8.550047e-03
7.878203285565856e-01	8.549486e-03
7.917265785565856e-01	8.549355e-03
7.956328285565856e-01	8.548809e-03
7.995390785565856e-01	8.548675e-03
8.034453285565856e-01	8.548143e-03
8.073515785565856e-01	8.548007e-03
8.112578285565856e-01	8.547489e-03
8.151640785565856e-01	8.547350e-03
8.190703285565856e-01	8.546845e-03
8.229765785565856e-01	8.546704e-03
8.268828285565856e-01	8.546213e-03
8.307890785565856e-01	8.546069e-03
8.346953285565856e-01	8.545591e-03
8.386015785565856e-01	8.545446e-03
8.425078285565856e-01	8.544981e-03
8.464140785565856e-01	8.544833e-03
8.503203285565856e-01	8.544382e-03
8.542265785565856e-01	8.544232e-03
8.581328285565856e-01	8.543794e-03
8.620390785565856e-01	8.543642e-03
8.659453285565856e-01	8.543217e-03
8.698515785565856e-01	8.543064e-03
8.737578285565856e-01	8.542651e-03
8.776640785565856e-01	8.542497e-03
8.815703285565856e-01	8.542098e-03
8.854765785565856e-01	8.541944e-03
8.893828285565856e-01	8.541559e-03
8.932890785565856e-01	8.541403e-03
8.971953285565856e-01	8.541034e-03
9.011015785565856e-01	8.540879e-03
9.050078285565856e-01	8.540524e-03
9.089140785565856e-01	8.540371e-03
9.128203285565856e-01	8.540033e-03
9.167265785565856e-01	8.539884e-03
9.206328285565856e-01	8.539564e-03
9.245390785565856e-01	8.539421e-03
9.284453285565856e-01	8.539121e-03
9.323515785565856e-01	8.538986e-03
9.362578285565856e-01	8.538708e-03
9.401640785565856e-01	8.538586e-03
9.440703285565856e-01	8.538336e-03
9.479765785565856e-01	8.538229e-03
9.518828285565856e-01	8.538011e-03
9.557890785565856e-01	8.537929e-03
9.596953285565856e-01	8.537747e-03
9.636015785565856e-01	8.537696e-03
9.675078285565856e-01	8.537561e-03
9.714140785565856e-01	8.537551e-03
9.753203285565856e-01	8.537473e-03
9.792265785565856e-01	8.537518e-03
9.831328285565856e-01	8.537510e-03
9.870390785565856e-01	8.537628e-03
9.909453285565856e-01	8.537708e-03
9.948515785565856e-01	8.537917e-03
9.987578285565856e-01	8.538107e-03
1.002664078556585e+00	8.538438e-03
1.006570328556585e+00	8.538767e-03
1.010476578556585e+00	8.539253e-03
1.014382828556585e+00	8.539755e-03
1.018289078556585e+00	8.540440e-03
1.022195328556585e+00	8.541162e-03
1.026101578556585e+00	8.542103e-03
1.030007828556585e+00	8.543102e-03
1.033914078556585e+00	8.544370e-03
1.037820328556585e+00	8.545719e-03
1.041726578556585e+00	8.547406e-03
1.045632828556585e+00	8.549201e-03
1.049539078556585e+00	8.551425e-03
1.053445328556585e+00	8.553790e-03
1.057351578556585e+00	8.556708e-03
1.061257828556585e+00	8.559803e-03
1.065164078556585e+00	8.563622e-03
1.069070328556585e+00	8.567669e-03
1.072976578556585e+00	8.572672e-03
1.076882828556585e+00	8.577972e-03
1.080789078556585e+00	8.584557e-03
1.084695328556585e+00	8.591546e-03
1.088601578556585e+00	8.600300e-03
1.092507828556585e+00	8.609630e-03
1.096414078556585e+00	8.621461e-03
1.100320328556585e+00	8.634181e-03
1.104226578556585e+00	8.650600e-03
1.108132828556585e+00	8.668540e-03
1.112039078556585e+00	8.693155e-03
1.115945328556585e+00	8.719917e-03
1.119851578556585e+00	8.757907e-03
1.123757828556585e+00	8.802208e-03
1.127664078556585e+00	8.870993e-03
1.131570328556585e+00	8.961580e-03
1.135476578556585e+00	9.137258e-03
1.139382828556585e+00	9.501140e-03
1.139871109806585e+00	9.618787e-03
1.141091812931585e+00	1.002933e-02
1.141702164494085e+00	1.048564e-02
1.142007340275335e+00	1.097759e-02
1.142129410587835e+00	1.136313e-02
1.142159928165960e+00	1.151127e-02
1.142220963322210e+00	1.193586e-02
1.142236222111273e+00	1.210012e-02
1.142266739689398e+00	1.256064e-02
1.142289627872992e+00	1.319342e-02
1.142301071964789e+00	1.375043e-02
1.142316330753851e+00	1.551840e-02
1.142318787251977e+00	1.614189e-02
1.142323700248230e+00	1.830159e-02
1.142324598625764e+00	1.901771e-02
1.142326395380833e+00	2.112659e-02
1.142326844569600e+00	2.193984e-02
1.142327742947134e+00	2.414610e-02
1.142327967541518e+00	2.491794e-02
1.142328416730285e+00	2.682642e-02
1.142329315107819e+00	3.440033e-02
1.142329424167312e+00	3.604159e-02
1.142329642286299e+00	4.022375e-02
1.142329981466751e+00	5.194616e-02
1.142330239699899e+00	7.187013e-02
1.142330444056682e+00	1.076573e-01
1.142330638705345e+00	1.836522e-01
1.142330851777363e+00	3.431585e-01
1.142331115988859e+00	6.270260e-01
1.142331463470282e+00	1.048892e+00
1.142331826146670e+00	1.498140e+00
1.142332532418120e+00	2.373379e+00
1.142333045753026e+00	2.990936e+00
1.142333089838377e+00	3.039861e+00
1.142333178009078e+00	3.130853e+00
1.142333274301565e+00	3.210676e+00
1.142333358191441e+00	3.251094e+00
1.142333449303277e+00	3.270193e+00
1.142333496745735e+00	3.275068e+00
1.142333562158869e+00	3.279235e+00
1.142333628390169e+00	3.281861e+00
1.142333719226977e+00	3.284119e+00
1.142333828968051e+00	3.285798e+00
1.142333970085654e+00	3.287119e+00
1.142334155679767e+00	3.288172e+00
1.142334397902376e+00	3.288986e+00
1.142334734151739e+00	3.289647e+00
